##name	International Relations and Security Acronyms
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/07/01, 19:57
##author	Hans Johnsson
##email	Oblomov@home.se
##description	Acronyms on International Relations and Security <BR>Sources amongst others: <BR>NATO Handbook: Appendix 7  - Abbreviations in Common Use
##browsingEnabled	
##bgl_creationTime	2001/05/14, 15:49
247B1810.bmp	File: 247B1810.bmp
UNDERTONE	World War II (March-April 1945) offensive by Third and Seventh Armies to break through the West Wall and clear the Saar-Palatinate triangle (area within the Rhine, Moselle, and Lauter-Saar Rivers), and to secure a bridgehead east of the Rhine River in the vicinity of Worms
UNDOF	UN Disengagement Observer Force (Golan Heights)
UNDP	United Nations Development Program
UNECE	United Nations Economic Commission for Europe <BR>Web page: http://<A href='http://www.unece.org'>www.unece.org</A>
UNEF	UN mission to Egypt
unesco	<B>UNESCO, United Nations Educational, Scientific and Cultural Organization. </B><BR><BR><BR>Its constitution was adopted by the London Conference in November 1945, and entered into effect on the 4th of November 1946 when 20 states had deposited instruments of acceptance. <BR>It currently has 188 Member States (as of 19 October 1999). <BR><BR><BR>The main objective of UNESCO is to contribute to peace and security in the world by promoting collaboration among nations through education, science, culture and communication in order to further universal respect for justice, for the rule of law and for the human rights and fundamental freedoms which are affirmed for the peoples of the world, without distinction of race, sex, language or religion, by the Charter of the United Nations. <BR><BR><BR>Official Web Page:<BR><A href='http://www.unesco.org/'>http://www.unesco.org</A> /<BR>.<BR>
UNFICYP	UN Peacekeeping Force in Cyprus
UNGCI	UN mission to Iraq
UNGOMAP	UN Good Offices Mission in Afghanistan &amp; Pakistan<BR><A href='http://www.periscope.ucg.com/terms/t0000297.html'> </A><BR>
UNHCHR	United Nations Human Rights Programme <BR> <BR>The concern of the United Nations with the promotion and protection of human rights and fundamental freedoms stems directly from the realization by the international community that "recognition of the inherent dignity and of the equal and inalienable rights of all members of the human family is the foundation of freedom, justice and peace in the world", and from the resultant pledge of States Members of the United Nations "to achieve, in cooperation with the United Nations, the promotion of universal respect for and observance of human rights and fundamental freedoms". <BR> <BR>Homepage: <A href='http://www.unhchr.ch/'>http://www.unhchr.ch/</A> <BR>
UNHCR	United Nations High Commissioner for Refugees <BR> <BR>UNHCR was established on December 14, 1950 by the U.N. General assembly and began its work on January 1, the following year. The agency helps the world's uprooted peoples by providing them with basic necessities such as shelter, food, water and medicine in emergencies and seeking long term solutions, including voluntary return to their homes or beginning afresh in new countries. In more than five decades, the agency has helped an estimated 50 million people restart their lives. Today, a staff of around 5,000 people in more than 120 countries continues to help an estimated 22 million people. <BR> <BR>Homepage: <A href='http://www.unhcr.ch/'>http://www.unhcr.ch/</A> <BR>
UNICEF	United Nations Children's Fund
UNIFEM	<A href='bword://UN'>United Nations</A> Development Fund for Women<BR><BR>UNIFEM promotes women's empowerment and gender equality. It works to ensure the participation of women in all levels of development planning and practice, and acts as a catalyst within the UN system, supporting efforts that link the needs and concerns of women to all critical issues on the national, regional and global agendas. UNIFEM focuses its work at the country level within the context of the United Nations <A href='bword://RC'>Resident Coordinator</A> System. Playing a strong advocacy role, the Fund concentrates on fostering a multilateral policy dialogue on women's empowerment.<BR><BR><BR><BR>Homepage: <A href='http://www.unifem.undp.org/'>http://www.unifem.undp.org/</A> <BR>
UNIFIL	United Nations Interim Force in Lebanon <BR> <BR>UNIFIL was created in 1978 to confirm Israeli withdrawal from Lebanon, restore the international peace and security, and help the Lebanese Government restore its effective authority in the area <BR> <BR>Web page: http://<A href='http://www.un.org/Depts/DPKO/Missions/unifil/unifil_body.htm'>www.un.org/Depts/DPKO/Missions/unifil/unifil_body.htm</A>
UNIIMOG	UN Iran--Iraq Military Observers Group
UNIKOM	United Nations Iraq-Kuwait Observation Mission <BR> <BR>UNIKOM was established in April 1991 following the forced withdrawal of Iraqi forces from Kuwait. Its task is to monitor the demilitarized zone along the Iraq-Kuwait border, deter border violations and report on any hostile action <BR> <BR>Web page: http://<A href='http://www.un.org/Depts/DPKO/Missions/unikom/unikom_body.htm'>www.un.org/Depts/DPKO/Missions/unikom/unikom_body.htm</A>
UNMAAP	United Nations Mine Action Assistance Programme (Croatia) <BR>
UNMACC	United Nations Mine Action Coordination Centre
UNMEE	UN mission to Ethiopia/Eritrea
UNMIBH	United Nations Mission in Bosnia and Herzegovina <BR> <BR> Set up in 1995, UNMIBH exercises a wide range of functions related to the law enforcement activities in Bosnia and Herzegovina. It also coordinates other UN activities in the country relating to humanitarian relief and refugees, demining, human rights, elections and rehabilitation of infrastructure and economic reconstruction. <BR> <BR> Web page: http://<A href='http://www.un.org/Depts/DPKO/Missions/unmibh/unmibh_body.htm'>www.un.org/Depts/DPKO/Missions/unmibh/unmibh_body.htm</A>
UNMIH	UN mission to Haiti
UNMIK	United Nations Interim Administration Mission in Kosovo
UNMIK at Two The Way Ahead: Partnership, Responsibility and Trust UNMIK Home >> AboutUNMIK >>> UNMIK at 2 >>>> Abbreviations Abbreviations BPK	Banking and Payments Authority of Kosovo
UNMOGIP	UN Military Observer Group in India and Pakistan
UNMOP	United Nations Mission of Observers in Prevlaka <BR> <BR>UNMOP was established in February 1996 to take over from the United Nations Confidence Restoration Operation (<A href='bword://UNCRO'>UNCRO</A>) the task of monitoring the demilitarization of the Prevlaka peninsula, a strategic area disputed by Croatia and the Federal Republic of Yugoslavia. <BR> <BR>Web page: http://<A href='http://www.un.org/Depts/DPKO/Missions/unmop/body_unmop.htm'>www.un.org/Depts/DPKO/Missions/unmop/body_unmop.htm</A> <BR>
UNMOT	UN mission to Tajikistan
Unmovic|unmovics	<I>The United Nations Monitoring, Verification and Inspection Commission</I> (UNMOVIC) was created through the adoption of Security Council resolution 1284 of 17 December 1999. UNMOVIC was to replace the former UN Special Commission (<A href='bword://UNSCOM'>UNSCOM</A>) and continue with the latter’s mandate to disarm Iraq of its weapons of mass destruction (chemical, biological weapons and missiles with a range of more than 150 km), and to operate a system of ongoing monitoring and verification to check Iraq’s compliance with its obligations not to reacquire the same weapons prohibited to it by the Security Council. <BR><BR>UN Web Page:<BR><A href='http://www.un.org/Depts/unmovic/'>http://www.un.org/Depts/unmovic/</A> <BR><BR><BR><BR>
UNOCHA	United Nations Office for the Coordination of Humanitarian Affairs
UNOMIG	United Nations Observer Mission in Georgia <BR> <BR> UNOMIG was established in August 1993 to verify compliance with the ceasefire agreement between the Government of Georgia and the Abkhaz authorities in Georgia. UNOMIG's mandate was expanded following the signing by the parties of the 1994 Agreement on a Ceasefire and Separation of Forces <BR> <BR> Web page: http://<A href='http://www.un.org/Depts/DPKO/Missions/unomig/unomig_body.htm'>www.un.org/Depts/DPKO/Missions/unomig/unomig_body.htm</A>
UNOMIL	The United Nations Observer Mission in Liberia <BR> <BR>UNOMIL was established to exercise good offices in support of the efforts of the Economic Community of West African States and the Liberian National Transitional Government to implement peace agreements; investigate alleged ceasefire violations; assist in maintenance of assembly sites and demobilization of combatants; support humanitarian assistance; investigate human rights violations and assist local human rights groups; observe and verify elections <BR> <BR>Duration: September 1993 – September 1997 <BR> <BR>UN Web page: http://<A href='http://www.un.org/Depts/dpko/dpko/co_mission/unomil.htm'>www.un.org/Depts/dpko/dpko/co_mission/unomil.htm</A>
UNOMSIL	United Nations Observer Mission to Sierra Leone <BR> <BR>UNOMSIL was established in July 1998 to monitor the military and security situation in Sierra Leone, as well as the disarmament and demobilization of former combatants. It was also asked to assist in monitoring respect for international humanitarian law. UNOMSIL was terminated on 22 October 1999, when the Security Council authorized deployment of a new and significantly larger peacekeeping operation -- the United Nations Mission in Sierra Leone (<A href='bword://UNAMSIL'>UNAMSIL</A>). <BR> <BR>Duration: July 1998 - October 1999 <BR> <BR>UN Web page: http://<A href='http://www.un.org/Depts/DPKO/Missions/unomsil/Unomsil.htm'>www.un.org/Depts/DPKO/Missions/unomsil/Unomsil.htm</A>
UNOMUR	United Nations Observer Mission Uganda-Rwanda <BR> <BR>Established in June 1993 to monitor the border between Uganda and Rwanda and verify that no military assistance - lethal weapons, ammunition and other material of possible military use - was being provided across it. UNOMUR's mandate ended on 21 September 1994. <BR> <BR>Duration: June 1993 - September 1994 <BR> <BR>UN Web page: http://<A href='http://www.un.org/Depts/dpko/dpko/co_mission/unomur.htm'>www.un.org/Depts/dpko/dpko/co_mission/unomur.htm</A>
UNOSOM	United Nations Operation in Somalia <BR> <BR>UNOSOM I <BR>Established to monitor the cease-fire in Mogadishu and escort deliveries of humanitarian supplies to distribution centres in the city. The mission's mandate and strength were later enlarged to enable it to protect humanitarian convoys and distribution centres throughout Somalia. It later worked with the Unified Task Force (UNITAF) in the effort to establish a safe environment for the delivery of humanitarian assistance. <BR> <BR>Duration: April 1992 - March 1993 <BR> <BR>UN Web page: http://<A href='http://www.un.org/Depts/dpko/dpko/co_mission/unosomi.htm'>www.un.org/Depts/dpko/dpko/co_mission/unosomi.htm</A> <BR> <BR>UNOSOM II <BR>Established in March 1993 to take appropriate action, including enforcement measures, to establish throughout Somalia a secure environment for humanitarian assistance. To that end, UNOSOM II was to complete, through disarmament and reconciliation, the task begun by the Unified Task Force (UNITAF) for the restoration of peace, stability, law and order. UNOSOM II was withdrawn in early March 1995. <BR> <BR>Duration: March 1993 - March 1995 <BR> <BR>UN Web page: http://<A href='http://www.un.org/Depts/dpko/dpko/co_mission/unosom2.htm'>www.un.org/Depts/dpko/dpko/co_mission/unosom2.htm</A>
UNPA|UNPA's|UNPAs	United Nations Protected Area <BR> <BR>(Known from the war in Bosnia-Hercegovina)
UNPF	UN mission to Croatia
UNPREDEP	United Nations Preventive Deployment Force <BR>(Former Yugoslav Republic of Macedonia)<BR><BR>Established on 31 March 1995 to replace <A href='bword://UNPROFOR'>UNPROFOR</A> in the former Yugoslav Republic of Macedonia. The mandate of <B>UNPREDEP </B>remained essentially the same: to monitor and report any developments in the border areas which could undermine confidence and stability in the former Yugoslav Republic of Macedonia and threaten its territory.<BR><BR>UN Web Page:<BR><A href='http://www.un.org/Depts/DPKO/Missions/unpredep.htm'>http://www.un.org/Depts/DPKO/Missions/unpredep.htm</A> <BR>.<BR><BR><BR>
UNPROFOR	UNITED NATIONS PROTECTION FORCE<BR><B>I</B>nitially established in Croatia to ensure demilitarization of designated areas. The mandate was later extended to Bosnia and Herzegovina to support the delivery of humanitarian relief, monitor "no fly zones" and "safe areas". The mandate was later extended to the former Yugoslav Republic of Macedonia for preventive monitoring in border areas.<BR><BR>UN Web page:<BR><A href='http://www.un.org/Depts/dpko/dpko/co_mission/unprofor.htm'>http://www.un.org/Depts/dpko/dpko/co_mission/unprofor.htm</A> <BR> .<BR><BR>
UNSC	United Nations Security Council
UNSCOB	n/a
Unscom	The United Nations Special Commission <BR> <BR>By its resolution 687 of 3 April 1991, the United Nations Security Council established the terms and conditions for the formal cease-fire between Iraq and the coalition of Member States co-operating with Kuwait. Section C of this resolution called for the elimination, under international supervision, of Iraq's weapons of mass destruction and ballistic missiles with a range greater than 150 kilometres (km), together with related items and production facilities. It also called for measures to ensure that the acquisition and production of prohibited items were not resumed. The United Nations Special Commission (UNSCOM) was set up to implement the non-nuclear provisions of the resolution and to assist the International Atomic Energy Agency (<A href='bword://IAEA'>IAEA</A>) in the nuclear areas. The precise terms are laid out in paragraphs 7 to 13 of the resolution. <BR><BR>UN Web Page:<BR><A href='http://www.un.org/Depts/unscom/'>http://www.un.org/Depts/unscom/</A> <BR><BR><BR><BR>
UNSCR	<A href='bword://UN'>United Nations</A> Security Council Resolution
UNSEC	UN mission to New York
UNSMIH	UN mission to Haiti
UNTAC	UN mission to Cambodia
UNTAES	UN mission to Croatia (Eastern Slavonia)
UNTAET	United Nations Transitional Administration in East Timor <BR> <BR> On 30 August 1999, the people of East Timor voted by means of a direct, secret and universal ballot to begin a process leading towards independence. UNTAET was established to administer the territory and exercise legislative and executive authorityduring the transition period. UNTAET consults and works in close cooperation with the East Timorese people. <BR> <BR> Web page: http://<A href='http://www.un.org/peace/etimor/etimor.htm'>www.un.org/peace/etimor/etimor.htm</A> <BR>
