##name	Gali's Gastronomical Glossary
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_lastUpdated	2005/12/18, 13:50
##bgl_middleUpdated	2005/12/18, 13:50
##author	Gali
##browsingEnabled	
##bgl_creationTime	2003/04/20, 11:15
##description	English-Hebrew
##purchaseAddress	
leckerle|leckerli	עוגיה שוודית פופולרית המגיעה בשתי גרסאות : האחת עם דבש והשניה עם שקדים קצוצים, שתיהן פריכות וטעימות.
lees	המשקע ביין/ליקרים שמתהווה בעת התסיסה והיישון
lekvar	ריבה הונגרית - ממרח פירות סמיך ורך (לרב משזיפים או אפרסקים וסוכר). משמש למילוי מאפים.
lemon|lemons	לימון (פרי הדר)
lemonade|limonada|limonana	לימונדה, משקה קל על בסיס יץ לימונים סחוט, מים וסוכר.<BR>לימונענע - לימונדה בשילוב של עלי נענע
levulose	סוכר פירות (פרוקטוז,, סוכר מסיס במים המצוי בפירות)
liaison|binder	מבחינה קולינרית מדובר בגורם מעבה למרקים, רטבים ותערובות שונות כגון חמאת בוטנים, חלמונים, עמילנים ועוד. גורם מעבה זה מכונה גם : <I>binder</I><BR>
light|lite	במינוח "לייט" מבחינה חוקית מותר לתאר מוצר המכיל פחות <B><I>ממשהו</B></I> לעומת מקבילה הרגילה שלו, אפילו פחות צבע, מרקם או טעם כמו גם פחות קלוריות/שומן/סוכר/אלכוהול
light cream	שמנת מתוקה קלה לבישול (לא מתאימה להקצפה)
lights	ריאות של בע"ח (בייחוד כבשים/חזירים)
lily|lili|lilies|lilli|lilly	שושן, שושנה
lima bean|Fordhook|Fordhooks|Madagascar bean|baby lima|baby limas|butter bean|butter beans|calico|lima beans|limabean|speckled butter beans	שעועית לימה (קרויה על שם העיר בה נגתלתה לראשונה) - קיימים שני סוגים : בייבי לימה ופורדהוק. הפולים ירוקים בהירים, שמנמנים ובצורת כליה כאשר הפורדהוק גדולים יותר.<BR>בדרום שעועיות לימה מובשות מכונות : <I>butter beans</I><BR>אלו המנומרות בכתמים סגולים מכונות :<I>calico</I> OR <BR><I>speckled butter beans</I>. <BR>שעועית לימה מכילה פרוטאין, זרחן, אשלגן וברזל<BR><BR><BR>
limburger cheese|limburger	גבינה שמנה לבנה ורכה בעלת טעם ניחוח חזקים להפליא
limeade	ליימדה (לימונדה מליים) - משקה קל על בסיס ליים סחוט, מים וסוכר
limpa bread|Swedish limpa|limpa	לחם שיפון לח בתיבול אניס או שומר, כמון וקליפת תפוז + סוכר חום
limpet	סוג של רכיכה ימית בעלת קונכיה גביעית הנדבקת לסלעים לאורך רצועת החוף
limu|Limu palawai|limu ele'ele|limu kohu|limu lipoa|limu manauea	(הוואי) אצות ים - שם כללי לעשרות סוגים הנאכלים בהוואי כדוגמת ה - lipoa Limu,ilmu ele'ele, limu manauea<BR>,limu palawai ,limu kohu<BR>
lingcod|greenling	דג מאכל ממשפחת ה- greenling המצוי בחוף הפאסיפי הצפון אמריקאי. מרקם בשרו דל השומן קשה וטעמו מתקתק.
lingonberry|cowberry|foxberry|lingberry|lingenberry|lowbush cranberry]|mountain cranberry	סוג של גרגר/דומדמנית מאכל, מכונה גם דומדמנית ההרים, דומה במראו לחמוציות אך קטן יותר. גדל על שיח נמוך.
linguca|lingui?a	נקניקי פורטוגזי דק במיוחד מתובל ביותר בשום
linguine|linguini	לינגוויני, מאיטלקית "לשונות קטנות" - אטריות פסטה שטוחות דקות וארוכות, מעין ספגטי שטוח :0)
lining|line	בטנה, ריפוד, ציפוי פנימי<BR>קו<BR>(פ') לסדר בשורות, לרפד, להתוות, לסמן קווים
liquor|Pot liquor|pot likker	1. ליקר, משקה המופק משיכר מזוקק<BR>(פ') להשקות במקשה אלכוהולי, להשרות בליקר<BR>2. המיצים הטבעיים שבצדפה מכונים "הליקר של הצדפה".<BR>3. ליקר סיר (Pot liquor or pot likker) מתייחס לנוזל הנובע מבישול ירקות או בשרים.
litchi|lichee|lichi	ליצ'י (פרי מאכל טרופי)
loin|loins|loyn|loyns	בשר מותן, מותן
low calorie	דל קלוריות - תווית מזון שמבחינה חוקית (בארה"ב) מותר לשים על מזון המכיל 40 קלךוריות או פחות פר מנת הגשה ופחות מ-0.4 קלוריות פר גרם של מזון.
lunch|d?jeuner|dejeuner	ארוחת צהריים, בצרפתית : <B>d?jeuner</B><BR>
mahi mahi|Dolphin|dolphinfish|dorado|mahi-mahi|mahimahi	דג מאכל גדול
malleable	גמיש, בר-עיצוב
malt liquor	ליקר שעורים
marjolaine|dacquoise	מרג'וליין או דאקווז : קינוח - ערימת טבעות מרנג בטעם אגוזים ממולאות בקצפת או קרם מוגשות קרות לעיתים לצד פירות
matcha|hiki-cha|hikicha	
matsutake|matsutake mushroom|white matsutake|white pine mushroom	פטרית מאכל (מטבח אוריינטלי) לבנה גדולה המפתחת כתמים חומים ככל ש"מזדקנת". ריחה פיקנטי וארומטי.
mealy|mili|mily	קמחי
mellow|melow	מתוק, רך, מעודן, בשל, עשיר ונעים,<BR>(פ') לרכך, להבשיל, להתרכך, לעדן
mescal	1. ליקר ממיץ אגבה (זן של קקטוס) מותסס<BR>2. זן של קקטוס צפון מקסיקני/טקסני
mezza|mezze	מתאבן (בערבית)
mildew|mildews	עובש, טחב
mixed salad|insalata mista	סלט רגיל בישראל (עגבניות, מלפפונים, חסות) מכונה "סלט מעורב בארה"ב, מאחר וסלט קלאסי שם מורכב בעיקר מחסות. באיטליה : <I>insalata mista</I><BR>
mochi	קמח אורז מתוק יפני
moist	לח, רטוב, לחלוחי
moisturize	(פ') ללחלח (להפוך ללח, להוסיף לחות)
mottled|mottle	מנומר<BR>(פ') לנמר, לנקד
mung|moong|mung beans	צמח שמקורו בסין המפיק פולים אכילים : mung beans
muscatel|muscat|muscate	ענב מזן מוסקט וגם היין המיוצר מענבים אלו
nachos|nacho	(מקסיקו) נאצ'וס - צ'יפס מקמח תירס (טורטייה צ'יפס)ץ לרב מוגש לצד גבינת צ'דר מותכת או דיפ של עגבניות או גואקמולי (מטבל אבוקדו)
nam pla|nampla|nuoc nam|nuocnam|shottsuru	(תאילנד) רוטב דגים מותסס בעל ריח חזק.<BR>קרוי <I>nuoc nam</I> בויאטנם ו- <I>shottsuru</I> ביפן
nam prik|namprik	המקבילה התאילנדית לסמבל -מונח כללי לממרח/תבלין חריף על בסיס צ'ילי, שום, דגים/חסילונים מיובשים, תרכיז תמרינד, פירות (כמנגו ירוק) ואגוזים
nameko	פטריה יפנית קטנה שצבעה נע בין כתום-ענבר-זהב. מרקמה רך ג'לטיני וארומה ארצית עשירה. מכונה גם : <I>cinnamon cap</I><BR>
nantua sauce|nantua	רוטב על בסיס בשמל בליווי שמנת, חמאת סרטני נהרות וזנבותיהם. מוגש לצד מאכלי ים או מנות ביצים.
nap|naped|naping|napping	(פ') לכסות מזון קלות ברוטב כך שתהא שכבה דקה שווה.
nasi goreng|nasigoreng	המונח האינדונזי ל"אורז מטוגן"
natto|nato	ממרח פולי סויה בעל מרקם דביק וטעם גבינתי(הפולים ראשית הורתחו, הותססו ונמעכו) - פופולרי ביפן
neat|nit|straight	- ביטוי שפירושו "בלי קרח" כשמזמינים משקה אלכוהולי (בניגוד ל- "On the Rocks") אפשר גם לומק סטרייט<BR>- מונח אנגלי ישן לחיה ממשפחת השור/פר/פרה
needle|needles|niddle|nidel	מחט
niboshi|nibochi	סרדינים מיובשים (יפן)
nijisseiki|Asian pear|nijiseiki	זן של אגס אסיאתי (פרי)
nimono	שם כללי למאכלים יפניים כדג, בשר או ירקות שמורתחים ממושכות בציר מתובלן
noble rot|Edelfaule|botrytis cinerea|noblerot	סוג של פטרייה/עובש הגדלה על גפנים ומקווצת את הענב, ומכאן מביאה לריכוז גבוה של סוכר בו.
nockerl	כופתאה אוסטרית<BR>גרסה א' - מבוססת על קמח, עשירה וטעימה, מוגשת במרקים ונזידים<BR>גרסה ב' - הגרסה המתוקה, הידועה כ- <B>Salzburger nokerl אורירית יותר (מכילה מעט מאוד קמח</B> וקצף ביצים) ומוגשת במרקי פירות<BR>
noekkelost cheese|kuminost|kuminost cheese|nökkelost	גבינת חלב פרות דנית בתיבול כמון, קימל וציפורן
nog|egg nog|eggnog	- כינוי ל"אגנוג" (חלמונה): המשקה המסורתי של חג המולד המורכב מחלב/שמנת, ביצים מוקצפות, סןכר, אגוז מוסקט וליקר<BR>- כל משקה המבוסס על ביצים מוקצפות, חלב וליקר<BR>- באנגליה המונח לעיתים מתייחס לבירה מסוג אייל חזק
noisette	- אגוז לוז, אלסר (מצרפתית)<BR>- מדליון קטן ורך של בשר (לרב כבש, בקר או עגל) הלקוח מהצלע או המותן.
nondairy|non dairy	שאינו חלבי
nondairy creamer|nondairy cream	מלבין צמחי (לקפה, כתחליף לחלב)
nonpareil	- סוכריות צבעוניות (לקישוט עוגה)<BR>- מונח צרפתי שפירושו "אין כמוהו" המשומש בהקשר לצלפים קטנים משומרים מפרובנס
nopales|Acitr?nes|Acitrones|Nopalitos|cactus leaves|nopal|nopal cactus|nopale|nopalitos|paddles|pads|prickly pear|prickly pear cactus	עלים בשרניים של קקטוס הנופל :nopal (prickly pear) cactus. צבעם : ירוק בהיר עד כהה וטעמם עדין חמצמץ ומזכיר שעועית ירוקה.<BR><B>Nopalitos</B><BR>= קוביות/רצועות נופלס כבושים במלח/משומרים במים<BR><B>Acitr?nes</B><BR>= נופלס מסוכרים בסירופ סוכר
nougat|Brown nougat|White nougat|ðåâè	נוגט - ממתיק צמיג מסוכר/דבש ואגוזים קלויים<BR>*נוגט לבן מכיל קצף ביצים ולכן רך יותר<BR>*נוגט חום מכיל שזף סוכר ולכן כהה ונוקשה יותר
nouvelle cuisine	נובל קוויזין - סגנון בישול צרפתי המושתת על אוכל פשוט והגשה מרשימה של המאכלים
nuoc cham|nuoccham	תבלין ויאטנמי המבוסס על רוטב דגים ותבלינים
nuoc nam|nuocnam	רוטב דגים ויאטנמי
nutrients|nutrient	חומרים מזינים
nutritious	מזין, בריא
oenology|enology	ייננות (תורת ייצור היין, חקר היין)
oenophile|enophile	יינן (מומחה ליין)
okolehao	ליקר מהוואי שעשוי מעיסת עלי צמח האגבה (טי)
oolong tea|oolong	זן של תה סיני שחור, שעליו הותססו קלות לפני שיובשו
orange-flower water|orange flower|orange flower water|orangeflower|orangeflower water	מי פריחת תפוז-מריר מבושמים המשמשים להוספת ניחוח וטעם למאפים, ממתקים וקוקטיילים, למשל :<BR>Ramos gin fizz cocktail<BR>
oxalic acid	של חומצה אוקסלית, ממין אוקסליס, מצמח הסורל (sorrel), חמציצי
oyster crab|oyster crabs|oystercrab|oystercrabs	סרטן זעיר ורוד בהיר בעל שריון רך שחי ב"בית" צדפה ואוכל מהמזון שלה. נחשבים למעדן.
oyster sauce	רוטב צדפות (פופולרי במטבח האסיאתי בייחוד להקפצת מאכלים וכתבלין) - רוטב מבושל חום סמיך על בסיס צדפות, מי מלח וסויה
papillote|en papillote	- נייר משומן (ספרדית)<BR>- (מצרפתית) מבושל/אפוי בנייר פרגמנט/אלומיניום לשמר את הטעם
parmigiana|parmaart|parmesana|parmesane|parmesanstyle	parmigiana ? la -   מינוח מהמטבח האיטלקי שמשעו עשוי עם גבינת פרמזן וחמאה, "בגבינת פרמזן". <BR>
parsley root|Hamburg parsley|parsleyroot|turnip rooted parsley|turnip-rooted parsley|turniprooted parsley	שורש פטרוזיליה (נוהגים לבשל עמו מרקים)
pashka	
pekoe	סוג של תה שחור איכותי מהודו וסרי לנקה
pepino|tree melon|treemelon	
perfume|perfumed	ריח, בושם<BR>(פ') לבשם<BR>
perfumy	מבושם
phosphorus	זרחן
piercer|pircer	מנקב, מחרר
pilchard|pilchards	סרדין (דג מאכל קטנטן)
pipi|pipis	צדפת מאכל עם קונכיה לבנה
piri-piri|piri piri|piripiri	סוג של פלפל-צ'ילי חריף אסיאתי (ירק מאכל טרי)
pith	תמצית, ליבה, החומר הספוגי במרכז הצמח<BR>(פ') להוציא הגרעין (של צמח), לדקור את חוט השדרה של בע"ח.
pliable	גמיש, נוח/קל לעיצוב, כפיף
pluck|plucking	(פ') למרוט נוצות, לתלוש
poriferous	נקבובי, ספוגי
porous	נקבובי
potassium	אשלגן
pounding|pound	(פ') לחבוט, להלום
protein	חלבון
prune|prunes	שזיף מיובש<BR>(פ') לחתוך, לגזום, לקצץ, לסלק
